Personal Expense,Company Policy,Expense Type,Transaction Date,Payment Type,Business Purpose,Amount,Date Range,Vendor
Yes,Violation - Over Limit,Miscellaneous,2025-07-06,Out - of - pocket,Conference accommodation,726,2025-07-06 to 2025-07-08,Vendor_57498a40
Yes,Within Policy,Travel,2025-07-05,IBCP,Team outing,4354,2025-07-05 to 2025-07-06,Vendor_edf46f23
No,Within Policy,Travel,2025-07-04,Out - of - pocket,Misc work expense,4558,2025-07-04 to 2025-07-04,Vendor_743c2689
No,Within Policy,Transport,2025-07-16,IBCP,Training session,1660,2025-07-16 to 2025-07-16,Vendor_e72ecbce
Yes,Violation - Alcohol Purchase,Transport,2025-07-02,Out - of - pocket,Misc work expense,825,2025-07-02 to 2025-07-03,Vendor_0510c9f6
Yes,Violation - Alcohol Purchase,Snacks,2025-07-03,Company Paid,Team outing,3037,2025-07-03 to 2025-07-03,Vendor_e3aa73db
Yes,Violation - Alcohol Purchase,Snacks,2025-07-26,IBCP,Team outing,1055,2025-07-26 to 2025-07-29,Vendor_8f33386d
No,Within Policy,Entertainment,2025-07-09,Company Paid,Team outing,1385,2025-07-09 to 2025-07-10,Vendor_24d5066f
No,Violation - Alcohol Purchase,Conference,2025-07-08,Company Paid,Team dinner,4948,2025-07-08 to 2025-07-08,Vendor_ddd87a72
No,Violation - Over Limit,Transport,2025-07-25,Out - of - pocket,Misc work expense,4526,2025-07-25 to 2025-07-27,Vendor_0ff36613
No,Violation - Alcohol Purchase,Hotel,2025-07-20,IBCP,Business snacks,3910,2025-07-20 to 2025-07-22,Vendor_1623c3e9
Yes,Violation - Over Limit,Entertainment,2025-07-20,Company Paid,Team dinner,1978,2025-07-20 to 2025-07-22,Vendor_9c1968f9
No,Within Policy,Snacks,2025-07-16,IBCP,Team dinner,731,2025-07-16 to 2025-07-17,Vendor_4c864222
No,Violation - Over Limit,Travel,2025-07-14,IBCP,Training session,2897,2025-07-14 to 2025-07-14,Vendor_93e16334
No,Violation - Alcohol Purchase,Dinner,2025-07-16,Company Paid,Client meeting travel,1948,2025-07-16 to 2025-07-16,Vendor_0d8d2507
No,Violation - Alcohol Purchase,Office Supplies / Softwares,2025-07-07,Out - of - pocket,Client meeting travel,2854,2025-07-07 to 2025-07-09,Vendor_198c4008
No,Violation - Over Limit,Office Supplies / Softwares,2025-07-27,IBCP,Training session,4287,2025-07-27 to 2025-07-27,Vendor_e6b0e152
Yes,Violation - Alcohol Purchase,Hotel,2025-07-27,Company Paid,Team outing,2345,2025-07-27 to 2025-07-27,Vendor_99a4bcc7
No,Violation - Over Limit,Conference,2025-07-28,Out - of - pocket,Business snacks,1181,2025-07-28 to 2025-07-28,Vendor_96a28621
No,Within Policy,Snacks,2025-07-24,Company Paid,Conference accommodation,4713,2025-07-24 to 2025-07-24,Vendor_7aeda617
No,Within Policy,Snacks,2025-07-24,Out - of - pocket,Conference accommodation,3462,2025-07-24 to 2025-07-25,Vendor_3c8cf043
No,Violation - Alcohol Purchase,Entertainment,2025-07-26,IBCP,Office stationery,2268,2025-07-26 to 2025-07-27,Vendor_ec14e05a
Yes,Violation - Alcohol Purchase,Office Supplies / Softwares,2025-07-27,IBCP,Team outing,1661,2025-07-27 to 2025-07-29,Vendor_5cdb2c83
Yes,Violation - Alcohol Purchase,Transport,2025-07-13,Company Paid,Business snacks,1340,2025-07-13 to 2025-07-16,Vendor_74866722
No,Within Policy,Office Supplies / Softwares,2025-07-30,IBCP,Team dinner,867,2025-07-30 to 2025-07-30,Vendor_fe6cd0ff
Yes,Violation - Alcohol Purchase,Travel,2025-07-23,IBCP,Conference accommodation,257,2025-07-23 to 2025-07-24,Vendor_1645f22b
Yes,Within Policy,Miscellaneous,2025-07-31,Out - of - pocket,Local commute,4919,2025-07-31 to 2025-07-31,Vendor_6530bb51
Yes,Violation - Over Limit,Transport,2025-07-04,Company Paid,Business snacks,4739,2025-07-04 to 2025-07-05,Vendor_3c1591fb
Yes,Violation - Alcohol Purchase,Dinner,2025-07-08,Company Paid,Training session,4497,2025-07-08 to 2025-07-08,Vendor_bda969ed
Yes,Violation - Over Limit,Office Supplies / Softwares,2025-07-12,Out - of - pocket,Office stationery,618,2025-07-12 to 2025-07-15,Vendor_09274026
No,Violation - Alcohol Purchase,Hotel,2025-07-06,Out - of - pocket,Client meeting travel,2159,2025-07-06 to 2025-07-08,Vendor_9cdcd70c
No,Violation - Over Limit,Office Supplies / Softwares,2025-07-30,Company Paid,Client meeting travel,2234,2025-07-30 to 2025-08-02,Vendor_9bbb0a01
No,Violation - Over Limit,Dinner,2025-07-30,IBCP,Training session,681,2025-07-30 to 2025-07-30,Vendor_333b7a3d
No,Violation - Over Limit,Travel,2025-07-06,Company Paid,Conference accommodation,220,2025-07-06 to 2025-07-08,Vendor_981ef13b
No,Violation - Over Limit,Conference,2025-07-06,Company Paid,Local commute,426,2025-07-06 to 2025-07-06,Vendor_e2d7892b
No,Within Policy,Snacks,2025-07-10,Out - of - pocket,Conference accommodation,3847,2025-07-10 to 2025-07-13,Vendor_fdfa6ece
No,Violation - Over Limit,Office Supplies / Softwares,2025-07-31,Company Paid,Team outing,969,2025-07-31 to 2025-08-03,Vendor_77a7cedf
No,Violation - Alcohol Purchase,Entertainment,2025-07-15,Company Paid,Team outing,230,2025-07-15 to 2025-07-15,Vendor_d1a23995
No,Within Policy,Office Supplies / Softwares,2025-07-11,IBCP,Client meeting travel,4992,2025-07-11 to 2025-07-11,Vendor_38fca073
No,Violation - Over Limit,Office Supplies / Softwares,2025-07-17,IBCP,Conference accommodation,3903,2025-07-17 to 2025-07-17,Vendor_fba129f7
No,Within Policy,Training,2025-07-03,Company Paid,Conference accommodation,2339,2025-07-03 to 2025-07-04,Vendor_316f13ca
Yes,Violation - Alcohol Purchase,Conference,2025-07-19,Company Paid,Business snacks,3991,2025-07-19 to 2025-07-20,Vendor_5232a92f
Yes,Violation - Over Limit,Dinner,2025-07-09,Company Paid,Team dinner,3712,2025-07-09 to 2025-07-10,Vendor_757aa997
Yes,Violation - Over Limit,Conference,2025-07-30,IBCP,Misc work expense,161,2025-07-30 to 2025-07-31,Vendor_481bc439
Yes,Violation - Alcohol Purchase,Office Supplies / Softwares,2025-07-24,Out - of - pocket,Team outing,2559,2025-07-24 to 2025-07-25,Vendor_41c701ee
No,Violation - Alcohol Purchase,Office Supplies / Softwares,2025-07-18,Company Paid,Local commute,2878,2025-07-18 to 2025-07-21,Vendor_bd867b8d
No,Violation - Over Limit,Hotel,2025-07-20,IBCP,Conference accommodation,3124,2025-07-20 to 2025-07-21,Vendor_6173b318
No,Within Policy,Miscellaneous,2025-07-06,IBCP,Training session,593,2025-07-06 to 2025-07-09,Vendor_157d67a8
Yes,Violation - Alcohol Purchase,Conference,2025-07-26,IBCP,Client meeting travel,2699,2025-07-26 to 2025-07-26,Vendor_810a8890
No,Within Policy,Transport,2025-07-14,Company Paid,Client meeting travel,4919,2025-07-14 to 2025-07-15,Vendor_f9ceac4c
Yes,Violation - Over Limit,Office Supplies / Softwares,2025-07-29,Company Paid,Local commute,4761,2025-07-29 to 2025-08-01,Vendor_b69fe213
Yes,Violation - Over Limit,Transport,2025-07-25,Out - of - pocket,Team dinner,1229,2025-07-25 to 2025-07-27,Vendor_b34a70b2
Yes,Violation - Over Limit,Conference,2025-07-25,Out - of - pocket,Client meeting travel,579,2025-07-25 to 2025-07-26,Vendor_304c36b0
No,Violation - Over Limit,Snacks,2025-07-13,Out - of - pocket,Training session,607,2025-07-13 to 2025-07-14,Vendor_bdf2fd43
No,Within Policy,Conference,2025-07-16,IBCP,Client meeting travel,4407,2025-07-16 to 2025-07-18,Vendor_1944aed5
No,Violation - Alcohol Purchase,Transport,2025-07-13,IBCP,Training session,885,2025-07-13 to 2025-07-14,Vendor_45d847e0
No,Within Policy,Training,2025-07-18,Company Paid,Local commute,630,2025-07-18 to 2025-07-18,Vendor_eec3c9fd
Yes,Within Policy,Travel,2025-07-23,IBCP,Conference accommodation,615,2025-07-23 to 2025-07-25,Vendor_01dde5aa
Yes,Within Policy,Office Supplies / Softwares,2025-07-29,Company Paid,Team dinner,1147,2025-07-29 to 2025-08-01,Vendor_3cba78dc
No,Violation - Over Limit,Miscellaneous,2025-07-09,Out - of - pocket,Team dinner,3297,2025-07-09 to 2025-07-09,Vendor_c5eae6c1
No,Violation - Alcohol Purchase,Travel,2025-07-08,Out - of - pocket,Business snacks,1619,2025-07-08 to 2025-07-08,Vendor_77efaea1
No,Violation - Over Limit,Hotel,2025-07-12,Out - of - pocket,Client meeting travel,1520,2025-07-12 to 2025-07-13,Vendor_1d521e5d
Yes,Within Policy,Miscellaneous,2025-07-09,IBCP,Team outing,946,2025-07-09 to 2025-07-09,Vendor_1f69c505
No,Violation - Over Limit,Conference,2025-07-06,Company Paid,Training session,3279,2025-07-06 to 2025-07-09,Vendor_a5630283
No,Violation - Alcohol Purchase,Dinner,2025-07-17,Out - of - pocket,Team dinner,3422,2025-07-17 to 2025-07-18,Vendor_e3fcc536
Yes,Violation - Over Limit,Transport,2025-07-18,IBCP,Conference accommodation,3789,2025-07-18 to 2025-07-21,Vendor_de942e11
Yes,Within Policy,Office Supplies / Softwares,2025-07-10,IBCP,Team outing,3674,2025-07-10 to 2025-07-12,Vendor_6fefda2a
Yes,Violation - Over Limit,Entertainment,2025-07-12,Out - of - pocket,Team dinner,3687,2025-07-12 to 2025-07-13,Vendor_03d43eec
Yes,Within Policy,Miscellaneous,2025-07-08,Company Paid,Business snacks,235,2025-07-08 to 2025-07-10,Vendor_99145cf6
Yes,Violation - Alcohol Purchase,Training,2025-07-16,Company Paid,Office stationery,3515,2025-07-16 to 2025-07-16,Vendor_4d57421b
No,Within Policy,Training,2025-07-15,Company Paid,Client meeting travel,2094,2025-07-15 to 2025-07-16,Vendor_005ad274
Yes,Within Policy,Dinner,2025-07-03,Out - of - pocket,Office stationery,1829,2025-07-03 to 2025-07-06,Vendor_e733d106
No,Violation - Alcohol Purchase,Snacks,2025-07-09,Company Paid,Local commute,1418,2025-07-09 to 2025-07-09,Vendor_7ae47305
No,Violation - Over Limit,Training,2025-07-07,Company Paid,Business snacks,608,2025-07-07 to 2025-07-09,Vendor_bf9c1559
No,Violation - Alcohol Purchase,Transport,2025-07-17,Company Paid,Training session,3951,2025-07-17 to 2025-07-17,Vendor_7a8c05dc
Yes,Violation - Over Limit,Transport,2025-07-28,Out - of - pocket,Business snacks,267,2025-07-28 to 2025-07-31,Vendor_1eabce36
Yes,Within Policy,Conference,2025-07-13,IBCP,Team outing,1390,2025-07-13 to 2025-07-14,Vendor_d39b1abb
No,Violation - Over Limit,Training,2025-07-28,Company Paid,Conference accommodation,2616,2025-07-28 to 2025-07-29,Vendor_6c507c3b
No,Violation - Over Limit,Conference,2025-07-18,IBCP,Misc work expense,4173,2025-07-18 to 2025-07-18,Vendor_8e05b943
No,Violation - Alcohol Purchase,Travel,2025-07-06,Out - of - pocket,Conference accommodation,3066,2025-07-06 to 2025-07-06,Vendor_14875d1c
No,Within Policy,Travel,2025-07-26,Out - of - pocket,Team outing,892,2025-07-26 to 2025-07-28,Vendor_d2661df6
Yes,Violation - Alcohol Purchase,Dinner,2025-07-29,IBCP,Training session,3308,2025-07-29 to 2025-08-01,Vendor_27d2fa81
No,Violation - Alcohol Purchase,Hotel,2025-07-27,Out - of - pocket,Business snacks,2729,2025-07-27 to 2025-07-30,Vendor_f5c44ae1
No,Violation - Over Limit,Transport,2025-07-04,Out - of - pocket,Team dinner,3800,2025-07-04 to 2025-07-05,Vendor_b7f92dd7
Yes,Within Policy,Snacks,2025-07-27,Company Paid,Misc work expense,3645,2025-07-27 to 2025-07-28,Vendor_8de810ce
No,Violation - Over Limit,Miscellaneous,2025-07-17,Company Paid,Team dinner,2123,2025-07-17 to 2025-07-20,Vendor_b122c062
No,Within Policy,Travel,2025-07-10,Out - of - pocket,Training session,3417,2025-07-10 to 2025-07-10,Vendor_e68cd028
No,Violation - Alcohol Purchase,Conference,2025-07-04,IBCP,Client meeting travel,1231,2025-07-04 to 2025-07-04,Vendor_11e0906e
Yes,Violation - Alcohol Purchase,Conference,2025-07-02,IBCP,Training session,3075,2025-07-02 to 2025-07-02,Vendor_f0bba470
No,Violation - Over Limit,Office Supplies / Softwares,2025-07-28,IBCP,Office stationery,3305,2025-07-28 to 2025-07-30,Vendor_7ad31438
Yes,Violation - Alcohol Purchase,Conference,2025-07-24,IBCP,Team dinner,3891,2025-07-24 to 2025-07-26,Vendor_1f6069eb
No,Violation - Alcohol Purchase,Entertainment,2025-07-15,Out - of - pocket,Local commute,1271,2025-07-15 to 2025-07-16,Vendor_3bfd9325
No,Within Policy,Office Supplies / Softwares,2025-07-29,Company Paid,Business snacks,1644,2025-07-29 to 2025-08-01,Vendor_2b88c15c
No,Violation - Alcohol Purchase,Office Supplies / Softwares,2025-07-25,Out - of - pocket,Team outing,4029,2025-07-25 to 2025-07-28,Vendor_34533ea5
No,Violation - Alcohol Purchase,Hotel,2025-07-07,Company Paid,Misc work expense,703,2025-07-07 to 2025-07-09,Vendor_4566e9c1
No,Within Policy,Training,2025-07-01,IBCP,Misc work expense,379,2025-07-01 to 2025-07-04,Vendor_3fbcf889
No,Violation - Alcohol Purchase,Transport,2025-07-09,Company Paid,Misc work expense,1953,2025-07-09 to 2025-07-10,Vendor_d04f2edc
No,Within Policy,Conference,2025-07-09,IBCP,Office stationery,1581,2025-07-09 to 2025-07-12,Vendor_97fdc6e5
